Standard_Work,Book,Chapter,Verse_Count
Old Testament,Joshua,17,18
Old Testament,Joshua,18,28
Old Testament,Joshua,19,51
Old Testament,Joshua,20,9
Old Testament,Joshua,21,45
Old Testament,Joshua,22,34
Old Testament,Joshua,23,16
Old Testament,Joshua,24,33
Old Testament,Judges,1,36
Old Testament,Judges,2,23
Old Testament,Judges,3,31
Old Testament,Judges,4,24
Old Testament,Judges,5,31
Old Testament,Judges,6,40
Old Testament,Judges,7,25
Old Testament,Judges,8,35
Old Testament,Judges,9,57
Old Testament,Judges,10,18
Old Testament,Judges,11,40
Old Testament,Judges,12,15
Old Testament,Judges,13,25
Old Testament,Judges,14,20
Old Testament,Judges,15,20
Old Testament,Judges,16,31
Old Testament,Judges,17,13
Old Testament,Judges,18,31
Old Testament,Judges,19,30
Old Testament,Judges,20,48
Old Testament,Judges,21,25
Old Testament,Ruth,1,22
Old Testament,Ruth,2,23
Old Testament,Ruth,3,18
Old Testament,Ruth,4,22
Old Testament,1 Samuel,1,28
Old Testament,1 Samuel,2,36
Old Testament,1 Samuel,3,21
Old Testament,1 Samuel,4,22
Old Testament,1 Samuel,5,12
Old Testament,1 Samuel,6,21
Old Testament,1 Samuel,7,17
Old Testament,1 Samuel,8,22
Old Testament,1 Samuel,9,27
Old Testament,1 Samuel,10,27
Old Testament,1 Samuel,11,15
Old Testament,1 Samuel,12,25
Old Testament,1 Samuel,13,23
Old Testament,1 Samuel,14,52
Old Testament,1 Samuel,15,35
Old Testament,1 Samuel,16,23
Old Testament,1 Samuel,17,58
Old Testament,1 Samuel,18,30
Old Testament,1 Samuel,19,24
Old Testament,1 Samuel,20,42
Old Testament,1 Samuel,21,15
Old Testament,1 Samuel,22,23
Old Testament,1 Samuel,23,29
Old Testament,1 Samuel,24,22
Old Testament,1 Samuel,25,44
Old Testament,1 Samuel,26,25
Old Testament,1 Samuel,27,12
Old Testament,1 Samuel,28,25
Old Testament,1 Samuel,29,11
Old Testament,1 Samuel,30,31
Old Testament,1 Samuel,31,13
Old Testament,2 Samuel,1,27
Old Testament,2 Samuel,2,32
Old Testament,2 Samuel,3,39
Old Testament,2 Samuel,4,12
Old Testament,2 Samuel,5,25
Old Testament,2 Samuel,6,23
Old Testament,2 Samuel,7,29
Old Testament,2 Samuel,8,18
Old Testament,2 Samuel,9,13
Old Testament,2 Samuel,10,19
Old Testament,2 Samuel,11,27
Old Testament,2 Samuel,12,31
Old Testament,2 Samuel,13,39
Old Testament,2 Samuel,14,33
Old Testament,2 Samuel,15,37
Old Testament,2 Samuel,16,23
Old Testament,2 Samuel,17,29
Old Testament,2 Samuel,18,33
Old Testament,2 Samuel,19,43
Old Testament,2 Samuel,20,26
Old Testament,2 Samuel,21,22
Old Testament,2 Samuel,22,51
Old Testament,2 Samuel,23,39
Old Testament,2 Samuel,24,25
Old Testament,1 Kings,1,53
Old Testament,1 Kings,2,46
Old Testament,1 Kings,3,28
Old Testament,1 Kings,4,34
Old Testament,1 Kings,5,18
Old Testament,1 Kings,6,38
Old Testament,1 Kings,7,51
Old Testament,1 Kings,8,66
Old Testament,1 Kings,9,28
Old Testament,1 Kings,10,29
Old Testament,1 Kings,11,43
Old Testament,1 Kings,12,33
Old Testament,1 Kings,13,34
Old Testament,1 Kings,14,31
Old Testament,1 Kings,15,34
Old Testament,1 Kings,16,34
Old Testament,1 Kings,17,24
Old Testament,1 Kings,18,46
Old Testament,1 Kings,19,21
Old Testament,1 Kings,20,43
Old Testament,1 Kings,21,29
Old Testament,1 Kings,22,53
Old Testament,2 Kings,1,18
Old Testament,2 Kings,2,25
Old Testament,2 Kings,3,27
Old Testament,2 Kings,4,44
Old Testament,2 Kings,5,27
Old Testament,2 Kings,6,33
Old Testament,2 Kings,7,20
Old Testament,2 Kings,8,29
Old Testament,2 Kings,9,37
Old Testament,2 Kings,10,36
Old Testament,2 Kings,11,21
Old Testament,2 Kings,12,21
Old Testament,2 Kings,13,25
Old Testament,2 Kings,14,29
Old Testament,2 Kings,15,38
Old Testament,2 Kings,16,20
Old Testament,2 Kings,17,41
Old Testament,2 Kings,18,37
Old Testament,2 Kings,19,37
Old Testament,2 Kings,20,21
Old Testament,2 Kings,21,26
Old Testament,2 Kings,22,20
Old Testament,2 Kings,23,37
Old Testament,2 Kings,24,20
Old Testament,2 Kings,25,30
Old Testament,1 Chronicles,1,54
Old Testament,1 Chronicles,2,55
Old Testament,1 Chronicles,3,24
Old Testament,1 Chronicles,4,43
Old Testament,1 Chronicles,5,26
Old Testament,1 Chronicles,6,81
Old Testament,1 Chronicles,7,40
Old Testament,1 Chronicles,8,40
Old Testament,1 Chronicles,9,44
Old Testament,1 Chronicles,10,14
Old Testament,1 Chronicles,11,47
Old Testament,1 Chronicles,12,40
Old Testament,1 Chronicles,13,14
Old Testament,1 Chronicles,14,17
Old Testament,1 Chronicles,15,29
Old Testament,1 Chronicles,16,43
Old Testament,1 Chronicles,17,27
Old Testament,1 Chronicles,18,17
Old Testament,1 Chronicles,19,19
Old Testament,1 Chronicles,20,8
Old Testament,1 Chronicles,21,30
Old Testament,1 Chronicles,22,19
Old Testament,1 Chronicles,23,32
Old Testament,1 Chronicles,24,31
Old Testament,1 Chronicles,25,31
Old Testament,1 Chronicles,26,32
Old Testament,1 Chronicles,27,34
Old Testament,1 Chronicles,28,21
Old Testament,1 Chronicles,29,30
Old Testament,2 Chronicles,1,17
Old Testament,2 Chronicles,2,18
Old Testament,2 Chronicles,3,17
Old Testament,2 Chronicles,4,22
Old Testament,2 Chronicles,5,14
Old Testament,2 Chronicles,6,42
Old Testament,2 Chronicles,7,22
Old Testament,2 Chronicles,8,18
Old Testament,2 Chronicles,9,31
